   0,1576
   1,2474
   2,1060
   3, 687
   4,1101
   5, 895
   6, 570
   7, 305
   8, 260
   9, 175
  10, 271
  11, 154
  12, 224
  13, 161
  14,  40
  15,  31
  16,  31
  17,  39
  18,  24
  19,  29
  20,  26
  21,  23
  22,  17
  23,  17
  24,  17
  25,  18
  26,  17
  27,  24
  28,  16
  29,  17
  30,  19
  31,  16
  32,  18
  33,  18
  34,  17
  35,  18
  36,  18
  37,  17
  38,  18
  39,  17
  40,  19
  41,  18
  42,  17
  43,  17
  44,  18
  45,  18
  46,  17
  47,  18
  48,  17
  49,  18
