   0,2837
   1,2552
   2,1194
   3,1383
   4, 902
   5, 519
   6, 207
   7, 138
   8, 171
   9,  67
  10,  46
  11,  21
  12,  18
  13,  20
  14,  18
  15,  17
  16,  18
  17,  20
  18,  18
  19,  19
  20,  20
  21,  16
  22,  17
  23,  26
  24,  16
  25,  17
  26,  22
  27,  17
  28,  22
  29,  16
  30,  18
  31,  19
  32,  18
  33,  17
  34,  18
  35,  19
  36,  16
  37,  16
  38,  18
  39,  19
  40,  16
  41,  18
  42,  18
  43,  18
  44,  20
  45,  18
  46,  18
  47,  18
  48,  24
  49,  16
