   0,1577
   1,1153
   2,1235
   3, 697
   4, 128
   5,  68
   6,  40
   7,  19
   8,  19
   9,  20
  10,  19
  11,  23
  12,  22
  13,  19
  14,  18
  15,  20
  16,  18
  17,  18
  18,  18
  19,  20
  20,  20
  21,  16
  22,  17
  23,  19
  24,  21
  25,  20
  26,  19
  27,  19
  28,  17
  29,  18
  30,  18
  31,  18
  32,  17
  33,  18
  34,  18
  35,  17
  36,  20
  37,  20
  38,  18
  39,  17
  40,  17
  41,  17
  42,  19
  43,  18
  44,  17
  45,  22
  46,  18
  47,  17
  48,  19
  49,  17
